year,ClimateEvent,category,value,n
2002,Average Arctic Ice Area in September ,Million Square Kilometres,4030000,1.071966293
2003,Average Arctic Ice Area in September ,Million Square Kilometres,4050000,1.109965098
2004,Average Arctic Ice Area in September ,Million Square Kilometres,4390000,1.755944786
2005,Average Arctic Ice Area in September ,Million Square Kilometres,4070000,1.147963903
2006,Average Arctic Ice Area in September ,Million Square Kilometres,4010000,1.033967488
2007,Average Arctic Ice Area in September ,Million Square Kilometres,2820000,-1.226961419
2008,Average Arctic Ice Area in September ,Million Square Kilometres,3260000,-0.390987706
2009,Average Arctic Ice Area in September ,Million Square Kilometres,3760000,0.558982423
2010,Average Arctic Ice Area in September ,Million Square Kilometres,3340000,-0.238992485
2011,Average Arctic Ice Area in September ,Million Square Kilometres,3210000,-0.485984719
2012,Average Arctic Ice Area in September ,Million Square Kilometres,2410000,-2.005936925
2013,Average Arctic Ice Area in September ,Million Square Kilometres,3780000,0.596981229
2014,Average Arctic Ice Area in September ,Million Square Kilometres,3740000,0.520983618
2015,Average Arctic Ice Area in September ,Million Square Kilometres,3420000,-0.086997264
2016,Average Arctic Ice Area in September ,Million Square Kilometres,2910000,-1.055966796
2017,Average Arctic Ice Area in September ,Million Square Kilometres,3350000,-0.219993083
2018,Average Arctic Ice Area in September ,Million Square Kilometres,3350000,-0.219993083
2002,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-6.8,1.294003202
2003,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-115.8,1.160690399
2004,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-263.1,0.980534657
2005,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-229.2,1.021996161
2006,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-130.8,1.1423446
2007,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-317.2,0.914367476
2008,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-587.9,0.583286964
2009,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-563.1,0.613618685
2010,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-841.6,0.272998357
2011,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-940.1,0.152527613
2012,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-1074.8,-0.012217658
2013,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-1285.1,-0.269425754
2014,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-1495.9,-0.527245377
2015,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-1847.6,-0.957393202
2016,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-1769.5,-0.861872744
2017,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-1803.2,-0.903089638
2018,Antarctica Mass Variation ,Antarctica Mass (Gigatons),-2148,-1.324798395
